N_day,date,sunrise,bin_1,bin_2,delta2_1,suma,active,avg_2_1
1920,2005-04-04,10:59:00,189.366,189.331,-0.035,-0.118,"[-0.022, -0.061, -0.035]",-0.03933333333333333
1921,2005-04-05,11:00:00,187.897,188.043,0.146,0.04999999999999999,"[-0.061, -0.035, 0.146]",0.016666666666666663
1922,2005-04-06,11:01:00,188.156,188.34,0.184,0.295,"[-0.035, 0.146, 0.184]",0.09833333333333333
1923,2005-04-07,11:01:00,187.854,188.061,0.207,0.5369999999999999,"[0.146, 0.184, 0.207]",0.17899999999999996
1931,2005-04-15,11:08:00,189.999,190.107,0.108,0.314,"[0.119, 0.087, 0.108]",0.10466666666666667
1932,2005-04-16,11:09:00,188.794,188.81,0.016,0.21100000000000002,"[0.087, 0.108, 0.016]",0.07033333333333334
1939,2005-04-23,11:14:00,190.255,190.216,-0.039,0.10900000000000001,"[0.081, 0.067, -0.039]",0.036333333333333336
1940,2005-04-24,11:15:00,192.315,192.386,0.071,0.099,"[0.067, -0.039, 0.071]",0.033
1941,2005-04-25,11:16:00,192.641,192.599,-0.042,-0.010000000000000009,"[-0.039, 0.071, -0.042]",-0.003333333333333336
1942,2005-04-26,11:17:00,191.024,191.115,0.091,0.12,"[0.071, -0.042, 0.091]",0.04
1943,2005-04-27,11:17:00,190.87,190.956,0.086,0.13499999999999998,"[-0.042, 0.091, 0.086]",0.04499999999999999
1944,2005-04-28,11:18:00,191.748,191.966,0.218,0.395,"[0.091, 0.086, 0.218]",0.13166666666666668
1945,2005-04-29,11:19:00,191.965,191.968,0.003,0.307,"[0.086, 0.218, 0.003]",0.10233333333333333
1946,2005-04-30,11:20:00,190.451,190.574,0.123,0.344,"[0.218, 0.003, 0.123]",0.11466666666666665
1947,2005-05-01,11:21:00,189.451,189.527,0.076,0.202,"[0.003, 0.123, 0.076]",0.06733333333333334
1948,2005-05-02,11:22:00,188.63,188.713,0.083,0.28200000000000003,"[0.123, 0.076, 0.083]",0.09400000000000001
1952,2005-05-06,11:25:00,192.854,192.944,0.09,0.232,"[0.042, 0.1, 0.09]",0.07733333333333334
1953,2005-05-07,11:26:00,191.53,191.546,0.016,0.20600000000000002,"[0.1, 0.09, 0.016]",0.06866666666666667
1954,2005-05-08,11:26:00,191.129,191.142,0.013,0.119,"[0.09, 0.016, 0.013]",0.03966666666666666
