shift,pdf
30,0.0005164205676031724
29,0.0006425031810982614
28,0.0002586165140162534
27,0.0007945622672915166
26,0.0006425031810982614
25,0.0029695863059550024
24,0.01575390061576109
23,0.005527001357880554
22,0.0011933905343480976
21,0.00032763916471653724
20,0.0011933905343480976
19,3.133476737349257e-05
18,0.00020290391392232648
17,0.0017497671531061822
16,0.0017497671531061822
15,9.449653120756139e-05
14,9.449653120756139e-05
13,0.0001582327604593209
12,0.0006425031810982614
11,0.0005164205676031724
10,0.0020997205837274186
9,0.00041258265186526916
8,0.0017497671531061822
7,0.0009767044481656516
6,0.005527001357880554
5,0.0006425031810982614
4,0.0034998695748755387
3,0.0014493984047528048
2,0.0025045686701323784
1,0.004100170828818592
